LG,position_window,n_mean,cm_male_mean,cm_female_mean,cm_sex_averaged_mean,cm_span_male_mean,cm_span_female_mean,cm_mb_male_mean,cm_mb_female_mean,cm_mb_sex_averaged_mean,crossovers_male_mean,crossovers_female_mean,crossovers_sex_averaged_mean,bp_position_mean,windowed_correlation_mean,male_distortion_mean,female_distortion_mean,Mendelian_distortion_mean,n_sum,cm_male_sum,cm_female_sum,cm_sex_averaged_sum,cm_span_male_sum,cm_span_female_sum,cm_mb_male_sum,cm_mb_female_sum,cm_mb_sex_averaged_sum,crossovers_male_sum,crossovers_female_sum,crossovers_sex_averaged_sum,bp_position_sum,windowed_correlation_sum,male_distortion_sum,female_distortion_sum,Mendelian_distortion_sum,window_end
LG1,43,31,50,41.935,45.9675,0,0,0,0,0,0,0,0,43569488.0645161,NA,NA,NA,NA,961,1300,1090.31,1195.155,0,0,0,0,0,0,0,0,1350654130,0,0,0,0,44000000
LG1,44,41,50,41.97535,45.987675,0,0.537999999999997,0,0.000000537999999999997,0.000000268999999999998,0,0.025,0.0125,44451199.6829268,NA,3.10543,1.74466,0.8782,1681,2000,1679.014,1839.507,0,22.0579999999999,0,0.0000220579999999999,0.0000110289999999999,0,1,0.5,1822499187,0,3.10543,1.74466,0.8782,45000000
LG1,45,40,50,42.8269210526316,46.4134605263158,0,1.075,0,0.000001075,0.000000537500000000001,0,0.0526315789473684,0.0263157894736842,45526257.775,NA,3.10543,1.561355,0.582555,1600,1900,1627.423,1763.7115,0,43.0000000000001,0,0.0000430000000000001,0.0000215000000000001,0,2,1,1821050311,0,6.21086,3.12271,1.16511,46000000
LG1,46,51,50,43.548,46.774,0,0,0,0,0,0,0,0,46660833.6666667,NA,NA,NA,NA,2601,2250,1959.66,2104.83,0,0,0,0,0,0,0,0,2379702517,0,0,0,0,47000000
LG1,47,31,50,43.7472592592593,46.8736296296296,0,0.537999999999997,0,0.000000537999999999997,0.000000268999999999998,0,0.037037037037037,0.0185185185185185,47119007.9032258,NA,3.10543,1.37805,0.371418,961,1350,1181.176,1265.588,0,16.6779999999999,0,0.0000166779999999999,0.00000833899999999995,0,1,0.5,1460689245,0,3.10543,1.37805,0.371418,48000000
LG1,48,22,50,44.086,47.043,0,0,0,0,0,0,0,0,48692581.6818182,NA,NA,NA,NA,484,1000,881.72,940.86,0,0,0,0,0,0,0,0,1071236797,0,0,0,0,49000000
LG1,49,18,50,44.086,47.043,0,0,0,0,0,0,0,0,49889524.8888889,NA,NA,NA,NA,324,300,264.516,282.258,0,0,0,0,0,0,0,0,898011448,0,0,0,0,50000000
LG1,50,30,50,44.086,47.043,0,0,0,0,0,0,0,0,50588067.8333333,NA,NA,NA,NA,900,1400,1234.408,1317.204,0,0,0,0,0,0,0,0,1517642035,0,0,0,0,51000000
LG1,51,58,50.5008965517241,44.086,47.2934482758621,0.537999999999997,0,0.000000537999999999997,0,0.000000268999999999998,0.0172413793103448,0,0.00862068965517241,51185539.2413793,NA,2.60825,1.37805,0.445335,3364,2929.052,2556.988,2743.02,31.2039999999998,0,0.0000312039999999998,0,0.0000156019999999999,1,0,0.5,2968761276,0,2.60825,1.37805,0.445335,52000000
LG1,52,27,50.9357777777778,44.4845185185185,47.7101481481481,0.537000000000006,0.538000000000004,0.000000537000000000006,0.000000538000000000004,0.000000537500000000009,0.037037037037037,0.037037037037037,0.037037037037037,52608750.037037,1,3.10543,1.74466,0.445335,729,1375.266,1201.082,1288.174,14.4990000000002,14.5260000000001,0.0000144990000000002,0.0000145260000000001,0.0000145125000000002,1,1,1,1420436251,27,3.10543,1.74466,0.445335,53000000
LG1,53,1,51.075,45.161,48.118,0,0,0,0,0,0,1,0.5,53392279,NA,3.10543,2.1547,0.23803,1,51.075,45.161,48.118,0,0,0,0,0,0,1,0.5,53392279,0,3.10543,2.1547,0.23803,54000000
LG1,54,14,51.075,45.161,48.118,0,0,0,0,0,0,0,0,54886498,NA,NA,NA,NA,196,663.975,587.093,625.534,0,0,0,0,0,0,0,0,768410972,0,0,0,0,55000000
LG1,55,22,51.075,45.161,48.118,0,0,0,0,0,0,0,0,55716328.0454545,NA,NA,NA,NA,484,1123.65,993.542,1058.596,0,0,0,0,0,0,0,0,1225759217,0,0,0,0,56000000
LG1,56,58,51.075,45.161,48.118,0,0,0,0,0,0,0,0,56485280.7413793,NA,NA,NA,NA,3364,2911.275,2574.177,2742.726,0,0,0,0,0,0,0,0,3276146283,0,0,0,0,57000000
LG1,57,60,51.075,45.161,48.118,0,0,0,0,0,0,0,0,57576354.3166667,NA,NA,NA,NA,3600,2451.6,2167.728,2309.664,0,0,0,0,0,0,0,0,3454581259,0,0,0,0,58000000
LG1,58,38,51.075,45.161,48.118,0,0,0,0,0,0,0,0,58574919.1315789,NA,NA,NA,NA,1444,1889.775,1670.957,1780.366,0,0,0,0,0,0,0,0,2225846927,0,0,0,0,59000000
LG1,59,29,51.075,45.161,48.118,0,0,0,0,0,0,0,0,59598145.6896552,NA,NA,NA,NA,841,1430.1,1264.508,1347.304,0,0,0,0,0,0,0,0,1728346225,0,0,0,0,60000000
LG1,60,47,51.075,45.2875882352941,48.1812941176471,0,0.537999999999997,0,0.000000537999999999997,0.000000268999999999998,0,0.0294117647058824,0.0147058823529412,60124729.9361702,NA,3.10543,1.74466,0.184947,2209,1736.55,1539.778,1638.164,0,25.2859999999998,0,0.0000252859999999998,0.0000126429999999999,0,1,0.5,2825862307,0,3.10543,1.74466,0.184947,61000000
LG1,61,5,51.075,45.699,48.387,0,0,0,0,0,0,0,0,61332562.8,NA,NA,NA,NA,25,255.375,228.495,241.935,0,0,0,0,0,0,0,0,306662814,0,0,0,0,62000000
LG1,62,26,51.075,45.699,48.387,0,0,0,0,0,0,0,0,62194294.0384615,NA,NA,NA,NA,676,1174.725,1051.077,1112.901,0,0,0,0,0,0,0,0,1617051645,0,0,0,0,63000000
LG1,63,57,51.075,45.699,48.387,0,0,0,0,0,0,0,0,63402218,NA,NA,NA,NA,3249,2809.125,2513.445,2661.285,0,0,0,0,0,0,0,0,3613926426,0,0,0,0,64000000
LG1,64,6,51.075,45.699,48.387,0,0,0,0,0,0,0,0,64193130.1666667,NA,NA,NA,NA,36,204.3,182.796,193.548,0,0,0,0,0,0,0,0,385158781,0,0,0,0,65000000
LG1,65,11,51.075,45.699,48.387,0,0,0,0,0,0,0,0,65201373,NA,NA,NA,NA,121,510.75,456.99,483.87,0,0,0,0,0,0,0,0,717215103,0,0,0,0,66000000
LG1,66,43,51.075,45.699,48.387,0,0,0,0,0,0,0,0,66794112.372093,NA,NA,NA,NA,1849,2196.225,1965.057,2080.641,0,0,0,0,0,0,0,0,2872146832,0,0,0,0,67000000
LG1,67,6,51.075,45.699,48.387,0,0,0,0,0,0,0,0,67999385.6666667,NA,NA,NA,NA,36,306.45,274.194,290.322,0,0,0,0,0,0,0,0,407996314,0,0,0,0,68000000
LG1,68,54,51.075,45.699,48.387,0,0,0,0,0,0,0,0,68546481.4259259,NA,NA,NA,NA,2916,2400.525,2147.853,2274.189,0,0,0,0,0,0,0,0,3701509997,0,0,0,0,69000000
LG1,69,66,51.075,45.7160793650794,48.3955396825397,0,0.538000000000004,0,0.000000538000000000004,0.000000269000000000005,0,0.0158730158730159,0.00793650793650794,69383479.0454545,NA,3.10543,2.1547,0.0649875,4356,3217.725,2880.113,3048.919,0,35.5080000000003,0,0.0000355080000000003,0.0000177540000000004,0,1,0.5,4579309617,0,3.10543,2.1547,0.0649875,70000000
LG1,70,69,51.075,46.5144666666667,48.7947333333333,0,1.075,0,0.000001075,0.000000537499999999994,0,0.0333333333333333,0.0166666666666667,70566730.9275362,NA,3.10543,2.381475,0.08100245,4761,3064.5,2790.868,2927.684,0,74.1749999999997,0,0.0000741749999999997,0.0000370874999999996,0,2,1,4869104434,0,6.21086,4.76295,0.1620049,71000000
LG1,71,37,51.075,47.312,49.1935,0,0,0,0,0,0,0,0,71503497.972973,NA,NA,NA,NA,1369,1838.7,1703.232,1770.966,0,0,0,0,0,0,0,0,2645629425,0,0,0,0,72000000
LG1,72,79,51.075,47.312,49.1935,0,0,0,0,0,0,0,0,72538135.9873418,NA,NA,NA,NA,6241,3983.85,3690.336,3837.093,0,0,0,0,0,0,0,0,5730512743,0,0,0,0,73000000
LG1,73,33,51.075,47.312,49.1935,0,0,0,0,0,0,0,0,73762968.8181818,NA,NA,NA,NA,1089,1634.4,1513.984,1574.192,0,0,0,0,0,0,0,0,2434177971,0,0,0,0,74000000
LG1,74,39,51.075,47.312,49.1935,0,0,0,0,0,0,0,0,74377670.2051282,NA,NA,NA,NA,1521,1889.775,1750.544,1820.1595,0,0,0,0,0,0,0,0,2900729138,0,0,0,0,75000000
LG1,75,46,51.075,47.3375714285714,49.2062857142857,0,0.536999999999999,0,0.000000536999999999999,0.000000268500000000003,0,0.0238095238095238,0.0119047619047619,75749042.9347826,NA,3.10543,1.74466,0.184947,2116,2145.15,1988.178,2066.664,0,24.702,0,0.000024702,0.0000123510000000001,0,1,0.5,3484455975,0,3.10543,1.74466,0.184947,76000000
LG1,76,75,51.075,47.849,49.462,0,0,0,0,0,0,0,0,76441585.9866667,NA,NA,NA,NA,5625,3677.4,3445.128,3561.264,0,0,0,0,0,0,0,0,5733118949,0,0,0,0,77000000
LG1,77,22,51.075,47.849,49.462,0,0,0,0,0,0,0,0,77420576.9545455,NA,NA,NA,NA,484,1072.575,1004.829,1038.702,0,0,0,0,0,0,0,0,1703252693,0,0,0,0,78000000
LG1,78,26,51.075,47.849,49.462,0,0,0,0,0,0,0,0,78612177.1923077,NA,NA,NA,NA,676,1225.8,1148.376,1187.088,0,0,0,0,0,0,0,0,2043916607,0,0,0,0,79000000
LG1,79,83,51.075,47.849,49.462,0,0,0,0,0,0,0,0,79701566.1084337,NA,NA,NA,NA,6889,4034.925,3780.071,3907.498,0,0,0,0,0,0,0,0,6615229987,0,0,0,0,80000000
LG1,80,52,51.075,48.2300833333333,49.6525416666667,0,0.538000000000004,0,0.000000538000000000004,0.000000268999999999998,0,0.0208333333333333,0.0104166666666667,80633594.6538462,NA,3.10543,2.1547,0.23803,2704,2451.6,2315.044,2383.322,0,27.9760000000002,0,0.0000279760000000002,0.0000139879999999999,0,1,0.5,4192946922,0,3.10543,2.1547,0.23803,81000000
